t,x,y,z,roll,pitch,heading,u,v,w,p,q,r,lon,lat,left,right,bow_ver,bow_hor,stern_ver,stern_hor,elevator,rudder,
3.65000000,0.05575843,0.00000128,0.31295370,-0.00000138,0.01071179,6.28318211,0.03666801,0.00000163,-0.34958323,0.00000047,0.01870006,-0.00000061,0.00000000,0.00000050,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.70000000,0.05740449,0.00000133,0.29545590,-0.00000135,0.01164679,6.28318208,0.03935437,0.00000166,-0.36040825,0.00000050,0.01915650,-0.00000059,0.00000000,0.00000052,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.75000000,0.05916220,0.00000138,0.27741380,-0.00000133,0.01260462,6.28318205,0.04219836,0.00000168,-0.37118784,0.00000052,0.01955989,-0.00000057,0.00000000,0.00000053,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.80000000,0.06103802,0.00000144,0.25882928,-0.00000130,0.01358261,6.28318202,0.04513034,0.00000168,-0.38184930,0.00000055,0.01950314,-0.00000057,0.00000000,0.00000055,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.85000000,0.06303502,0.00000149,0.23970793,-0.00000128,0.01455777,6.28318199,0.04804623,0.00000171,-0.39174328,0.00000058,0.01878958,-0.00000055,0.00000000,0.00000057,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.90000000,0.06515194,0.00000154,0.22008787,-0.00000125,0.01549725,6.28318196,0.05084897,0.00000170,-0.39983280,0.00000060,0.01748840,-0.00000054,0.00000000,0.00000059,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
3.95000000,0.06738428,0.00000160,0.20005923,-0.00000122,0.01637167,6.28318194,0.05343277,0.00000169,-0.40530005,0.00000061,0.01560955,-0.00000051,0.00000000,0.00000061,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.00000000,0.06972380,0.00000165,0.17975321,-0.00000119,0.01715215,6.28318191,0.05568350,0.00000179,-0.40743345,0.00000061,0.01315445,-0.00000041,0.00000000,0.00000063,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.05000000,0.07215817,0.00000171,0.15933678,-0.00000116,0.01780987,6.28318189,0.05748836,0.00000183,-0.40558024,0.00000059,0.01013240,-0.00000032,0.00000000,0.00000065,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
4.10000000,0.07467098,0.00000176,0.13900979,-0.00000113,0.01831649,6.28318187,0.05874416,0.00000173,-0.39914872,0.00000056,0.00656510,-0.00000024,0.00000000,0.00000067,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
